REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
177050,Pesto rosso ; pot 130g Antico Casale,8015559076040,0.84,0.84,12.00,3,10.08,3,0.13,KG,30.24,5.5
1770172,Confit d'oignons France bocal 110g,3580281770160,0.69,0.69,12.00,1,8.28,1,0.11,KG,8.28,5.5
1770102,Sauce aïoli; bocal 90g Marcel Recorbet,3302950102016,0.74,0.70,12.00,2,8.88,2,0.09,KG,16.87,5.5
176003,Harissa ; tube 140g Cap Bon,6194049100105,0.46,0.46,18.00,1,8.28,1,0.14,KG,8.28,5.5
171203,Citrons beldis bocal 720 ml Comptoir de Carthage,3580281712030,1.55,1.55,6.00,1,9.30,1,0.39,KG,9.30,5.5
171006,Capres au vinaigre pot 120gr,3580281710067,0.65,0.65,12.00,1,7.80,1,0.12,KG,7.80,5.5
166571,Olives noires herbes de Provence BIO pot pne 235g,3025050890125,1.25,1.25,12.00,3,15.00,3,0.24,KG,45.00,5.5
166570,Olives noires BIO; pot 37 cl,3025050890118,1.39,1.39,12.00,3,16.68,3,0.24,KG,50.04,5.5
166563,Cocktail d'olives dénoyautées BIO bocal 37cl,3025050490349,1.24,1.24,12.00,2,14.88,2,0.34,KG,29.76,5.5
166562,Olives vertes dénoyautées aux herbes BIO pne 160g,3025050490141,1.20,1.20,12.00,2,14.40,2,0.16,KG,28.80,5.5
1570071,Mélange Lyon grillé salé; carton 10 x 1kg,2600228000004,6.35,6.35,10.00,3,63.50,3,1.00,KG,190.50,5.5
155017,Maïs grillés salés; paquet 150g,3580281550175,0.47,0.47,10.00,1,4.70,1,0.15,KG,4.70,5.5
152067,Arachides wasabi; paquet 130g,3580281520673,0.95,0.95,10.00,1,9.50,1,0.13,KG,9.50,5.5
143010,Riz long complet BIO Italie,3580281430101,2.42,2.42,5.00,2,12.10,2,1.00,KG,24.20,5.5
140510,Riz basmati blanc BIO Pakistan,3580281405109,2.63,2.63,5.00,3,13.15,3,1.00,KG,39.45,5.5
136015,Farine de maïs Italie,8009149600005,0.82,0.82,10.00,1,8.20,1,1.00,KG,8.20,5.5
135005,Pois cassé France paquet 1kg Grains de Frais,3580281350058,0.99,0.99,12.00,2,11.88,2,1.00,KG,23.76,5.5
134001,Maïs à éclater BIO France,3580281340011,2.70,2.70,5.00,1,13.50,1,1.00,KG,13.50,5.5
1320071,Lentilles beluga BIO paquet 500g Grain de Frais,3580281320075,1.98,1.98,10.00,1,19.80,1,0.50,KG,19.80,5.5
1320061,Haricots mungo BIO paquet 500g Grain de Frais,3580281320068,1.75,1.75,10.00,1,17.50,1,0.50,,17.50,5.5
127047,Raisins secs Golden;paquet 250g,3580281270479,0.99,0.99,10.00,1,9.90,1,0.25,KG,9.90,5.5
125200,Pistaches décortiquées; paquet 200g,3580281252000,3.99,3.99,10.00,1,39.90,1,0.20,KG,39.90,5.5
123892,Noix de cajou crues; paquet 200g,3580281238929,2.05,2.05,10.00,2,20.50,2,0.20,KG,41.00,5.5
123879,Cerneaux de noix BIO; doypack 100g B&S,3580281238790,2.49,2.49,16.00,1,39.84,1,0.10,,39.84,5.5
1238781,Cerneaux de Noix invalides paquet 350g Agidra,3580281238783,3.35,3.35,14.00,1,46.90,1,0.35,KG,46.90,5.5
123873,Cerneaux de noix invalides France; paquet 130g,3580281238738,1.59,1.59,10.00,2,15.90,2,0.13,KG,31.80,5.5
1235461,Poudre de noisettes Agidra paquet 250g,3580281235461,2.45,2.45,18.00,1,44.10,1,0.25,KG,44.10,5.5
123527,Noisettes décortiquées ; paquet 200g,3580281235270,2.10,2.10,10.00,1,21.00,1,0.20,KG,21.00,5.5
123213,Mélange Bien-être ; paquet 200g,3580281232132,1.89,1.70,10.00,1,18.90,1,0.20,KG,17.01,5.5
123085,Cranberrie entière BIO Canada,3580281230855,7.29,7.29,11.34,1,82.67,1,1.00,,82.67,5.5
123000,Ananas déshydratés cubes paquet 250g,3580281230008,1.49,1.49,10.00,1,14.90,1,0.25,KG,14.90,5.5
1220061,Noix de coco rapée,3580281220061,1.79,1.79,8.00,1,14.32,1,0.50,KG,14.32,5.5
122001,Noix de coco râpée ; paquet 120g,3580281220016,0.65,0.65,10.00,1,6.50,1,0.12,KG,6.50,5.5
121900,Baies de Goji ; paquet 150g,3580281219003,1.65,1.65,10.00,1,16.50,1,0.15,KG,16.50,5.5
121052,Amandes émondées ; paquet 200g,3580281210529,1.59,1.59,10.00,1,15.90,1,0.20,KG,15.90,5.5
121036,Amandes effilées; paquet 150g,3580281210369,1.29,1.29,10.00,1,12.90,1,0.15,KG,12.90,5.5
121023,Amandes décortiquées ; paquet 200g,3580281210239,1.65,1.65,10.00,1,16.50,1,0.20,KG,16.50,5.5
120547,Abricots secs paquet 220g,3580281205471,1.72,1.72,10.00,1,17.20,1,0.22,KG,17.20,5.5
118658,Pâtes Farfalle n°58 pqt 500g Savino Pasta,3580281186589,0.50,0.50,20.00,1,10.00,1,0.50,KG,10.00,5.5
118636,Pâtes Fusilli n°36; pqt 500g Savino Pasta,3580281186367,0.47,0.47,20.00,1,9.40,1,0.50,KG,9.40,5.5
118631,Pâtes Penne Rigate n°31; pqt 500g Savino Pasta,3580281186312,0.47,0.47,20.00,1,9.40,1,0.50,KG,9.40,5.5
118605,Pâtes Spaghetti n°5; pqt 500g Savino Pasta,3580281186053,0.47,0.47,24.00,1,11.28,1,0.50,KG,11.28,5.5
118603,Pâtes Capellini n°3; pqt 500g Savino Pasta,3580281186039,0.47,0.47,24.00,1,11.28,1,0.50,KG,11.28,5.5
117923,Pâtes Penne BIO Italie,8009940340575,3.50,3.50,4.00,1,14.00,1,3.00,KG,14.00,5.5
117922,Pâtes Fusilli BIO Italie,8009940340827,3.50,3.50,4.00,1,14.00,1,3.00,KG,14.00,5.5
117915,Pâtes italiennes Maccaroni BIO; pqt 500g 1881,8003740121709,0.67,0.67,20.00,1,13.40,1,0.50,,13.40,5.5
117914,Pâtes italiennes Coquillette BIO n°252; 500g 1881,8003740122522,0.67,0.67,20.00,1,13.40,1,0.50,KG,13.40,5.5
117913,Pâtes italiennes Farfalle BIO n°58 pqt 500g 1881,8003740120580,0.69,0.69,20.00,1,13.80,1,0.50,KG,13.80,5.5
117912,Pâtes italiennes Fusilli BIO n°36 pqt 500g 1881,8003740120368,0.69,0.69,20.00,1,13.80,1,0.50,KG,13.80,5.5
108009,Céréales fourrées chocolat BIO,3580281080092,5.45,5.45,10.00,1,54.50,1,1.00,KG,54.50,5.5
108007,Céréales muesli croustillant BIO Belgique,3580281080078,3.79,3.79,15.00,1,56.85,1,1.00,KG,56.85,5.5
1075022,Quinoa France,3580281075029,1.75,1.75,15.00,1,26.25,1,0.50,KG,26.25,5.5
1040711,Couscous fin ; boîte 500g Bacchini,8011033016007,0.59,0.59,12.00,1,7.08,1,0.50,KG,7.08,5.5
102054,Millet décortiqué BIO Ukraine,3580281020548,1.99,1.99,5.00,1,9.95,1,1.00,KG,9.95,5.5
102050,Graines de chia BIO Paraguay,3580281020500,3.85,3.85,5.00,1,19.25,1,1.00,KG,19.25,5.5
102023,Sarrasin décortiqué BIO ; paquet 500g,3380380085802,1.84,1.84,6.00,1,11.04,1,0.50,,11.04,5.5
1010101,Farine de sarrasin BIO paquet 500g,3580281010105,1.99,1.99,10.00,1,19.90,1,0.50,KG,19.90,5.5
