Odoo Cat,Product Category SuperCoop,Unterkategorie SuperCoop,REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,226029,Champignons Paris entiers FRANCE;boîte 1/2,3580282260295,1.15,1.15,12.00,1,13.80,1,0.23,KG,13.80,5.5
All / Convenience & Konserven / Oliven & Antipasti,Convenience & Konserven,Oliven & Antipasti,225007,Poivrons piquillo; pot 225g Savino,3580282250074,0.94,0.94,12.00,1,11.28,1,0.23,KG,11.28,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,223040,Pois chiches; bocal 400g Cidacos,8410313325813,0.62,0.62,12.00,2,7.44,2,0.40,KG,14.88,5.5
All / Convenience & Konserven / Oliven & Antipasti,Convenience & Konserven,Oliven & Antipasti,222750,Trio de légumes grillés à l'huile Savino pot 225g,3580282227502,1.25,1.25,12.00,1,15.00,1,0.23,KG,15.00,5.5
All / Convenience & Konserven / Oliven & Antipasti,Convenience & Konserven,Oliven & Antipasti,222748,Duo de poivrons grillés à l'huile Savino pot 225g,3580282227489,1.25,1.25,12.00,1,15.00,1,0.23,KG,15.00,5.5
All / Convenience & Konserven / Oliven & Antipasti,Convenience & Konserven,Oliven & Antipasti,222746,Artichauts grillés à l'huile Savino pot 225g,3580282227465,1.25,1.25,12.00,1,15.00,1,0.23,KG,15.00,5.5
All / Convenience & Konserven / Oliven & Antipasti,Convenience & Konserven,Oliven & Antipasti,222713,Tomates séchées à l'huile; pot 210g Savino,3025056098020,1.61,1.61,12.00,1,19.32,1,0.21,KG,19.32,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,221330,Petit pois BIO France 720ml,3580282213307,1.87,1.87,6.00,1,11.22,1,0.42,KG,11.22,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,221329,Conserve pois chiches Poitou Charente 720ml,3580282213291,1.13,1.13,6.00,1,6.78,1,0.48,KG,6.78,5.5
#NV,#NV,#NV,221317,Petits pois & carottes France bocal pne 420g,3580282213178,0.99,0.99,6.00,2,5.94,2,0.66,KG,11.88,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,221315,Petits pois extra-fins France;bocal pne 445g,3580282213154,1.04,1.04,6.00,1,6.24,1,0.66,KG,6.24,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,221314,Légumes pour couscous bocal 720ml,3580282213147,0.99,0.99,6.00,1,5.94,1,0.66,KG,5.94,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,221108,Haricots verts Extra Fin BIO bocal 720ml,3580282211082,2.19,2.19,6.00,1,13.14,1,0.35,KG,13.14,5.5
All / Convenience & Konserven / 0,Convenience & Konserven,0,213515,Purée de tomates fraîches Savino bouteille 690g,3580282135159,0.69,0.69,12.00,2,8.28,2,0.69,KG,16.56,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,211053,Piperade au piment d'espelette BIO bcl 520g,3580282110538,2.25,2.25,12.00,1,27.00,1,0.52,KG,27.00,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,211051,Aubergines cuisinées BIO bcl 520g,3580282110514,2.17,2.17,12.00,1,26.04,1,0.52,KG,26.04,5.5
All / Convenience & Konserven / Gemüsekonserven & Suppen,Convenience & Konserven,Gemüsekonserven & Suppen,211049,Ratatouille cuisinée BIO bcl 520g,3580282110491,2.07,2.07,12.00,1,24.84,1,0.52,KG,24.84,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,2110431,Pulpe de tomates en dés BIO boîte 400g,3069538103055,0.65,0.65,12.00,1,7.80,1,0.47,KG,7.80,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,211027,Sauce aux champignons BIO pot 190g L.Martin,3142952362014,1.15,1.15,12.00,1,13.80,1,0.19,KG,13.80,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,211021,Sauce tomates basilic BIO pot 190g L.Martin,3142952352114,0.92,0.92,12.00,1,11.04,1,0.19,KG,11.04,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,211020,Sauce provencale BIO pot 190g L.Martin,3142952353111,0.84,0.84,12.00,1,10.08,1,0.19,KG,10.08,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,211014,Sauce Arrabiata;pot 190g Savino,3580282110149,0.59,0.59,12.00,1,7.08,1,0.19,KG,7.08,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,211004,Sauce au basilic;pot 350g Savino,3142952737911,0.67,0.67,12.00,1,8.04,1,0.35,KG,8.04,5.5
All / Convenience & Konserven / Tomatensoße. & Co.,Convenience & Konserven,Tomatensoße. & Co.,211002,Sauce napolitaine;pot 350g Savino,3142952738017,0.65,0.65,12.00,1,7.80,1,0.35,KG,7.80,5.5
"All / Öle, Fette, Essig & Würzmittel / Mayonnaise, Ketchup","Öle, Fette, Essig & Würzmittel","Mayonnaise, Ketchup",191124,Huile d'olive V.E BIO; bouteille 75cl La Pedriza,8423329001701,3.69,3.62,12.00,1,44.28,1,0.75,LIT,43.39,5.5
"All / Öle, Fette, Essig & Würzmittel / Mayonnaise, Ketchup","Öle, Fette, Essig & Würzmittel","Mayonnaise, Ketchup",179538,Mayonnaise BIO Ma Pincée de Bio pot 185g,3302950003085,1.38,1.38,6.00,1,8.28,1,0.19,KG,8.28,5.5
All / Öle. Fette. Essig & Würzmittel / Senf & Meerettichprodukte,Öle. Fette. Essig & Würzmittel,Senf & Meerettichprodukte,179040,Moutarde forte de Dijon pot 370g,3563490010029,0.46,0.46,12.00,1,5.52,1,0.37,KG,5.52,5.5
"All / Öle, Fette, Essig & Würzmittel / Senf & Meerettichprodukte","Öle, Fette, Essig & Würzmittel",Senf & Meerettichprodukte,179005,Moutarde à l'ancienne ; pot 190g Reine de Dijon,3563490110125,0.56,0.56,12.00,1,6.72,1,0.19,KG,6.72,5.5
All / Convenience & Konserven / Pesto & Aufstriche,Convenience & Konserven,Pesto & Aufstriche,178511,Tartinable BIO olives tomates séchées bocal 100g,3330720663016,1.59,1.59,6.00,1,9.54,1,0.10,KG,9.54,5.5
All / Convenience & Konserven / Pesto & Aufstriche,Convenience & Konserven,Pesto & Aufstriche,178510,Tartinable BIO artichaut basilic; bocal 100g,3330720663009,1.59,1.59,6.00,1,9.54,1,0.10,KG,9.54,5.5
All / Convenience & Konserven / Oliven & Antipasti,Convenience & Konserven,Oliven & Antipasti,178011,Tapenade verte BIO; pot 90g,3025057090672,1.17,1.17,12.00,1,14.04,1,0.09,KG,14.04,5.5
"All / Öle, Fette, Essig & Würzmittel / Essig","Öle, Fette, Essig & Würzmittel",Essig,177560,Vinaigre de vin rouge ; bouteille 50cl,3302950104034,0.72,0.72,6.00,1,4.32,1,0.50,LIT,4.32,5.5
"All / Öle, Fette, Essig & Würzmittel / Essig","Öle, Fette, Essig & Würzmittel",Essig,177546,Vinaigre de Xeres ; bouteille 50cl,8411587486224,1.42,1.42,12.00,1,17.04,1,0.50,LIT,17.04,5.5
All / Convenience & Konserven / Pesto & Aufstriche,Convenience & Konserven,Pesto & Aufstriche,177056,Pesto genovese; pot 140g Antico Casale,8015559066850,1.19,1.19,12.00,1,14.28,1,0.14,KG,14.28,5.5
All / Convenience & Konserven / Pesto & Aufstriche,Convenience & Konserven,Pesto & Aufstriche,177054,Pesto à l'artichaut; pot 130g Antico Casale,8015559076033,0.73,0.73,12.00,1,8.76,1,0.13,KG,8.76,5.5
All / Convenience & Konserven / Pesto & Aufstriche,Convenience & Konserven,Pesto & Aufstriche,177052,Pesto ricotta noix; pot 130g Antico Casale,8015559076057,1.01,1.01,12.00,1,12.12,1,0.13,KG,12.12,5.5
