Odoo Cat,Product Category SuperCoop,Unterkategorie SuperCoop,REF,Désignation produit,Code EAN,Prix/U. avant promotions,Prix/U.,Colisage,Qté,P. Conditionement,N. Colis,Poids brut,Unité de poids,HT,TVA
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Hülsenfrüchte","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Hülsenfrüchte,132585,Haricots rouges paquet 1kg Grain de Frais,3580281325858,1.95,1.76,12.00,1,23.40,1,1.00,KG,21.06,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Hülsenfrüchte","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Hülsenfrüchte,1320081,Trio de lentilles BIO paquet 500g Grain de Frais,3580281320082,1.79,1.61,10.00,1,17.90,1,0.50,KG,16.11,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Hülsenfrüchte","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Hülsenfrüchte,1320071,Lentilles beluga BIO paquet 500g Grain de Frais,3580281320075,1.98,1.78,10.00,1,19.80,1,0.50,KG,17.82,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Hülsenfrüchte","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Hülsenfrüchte,1320061,Haricots mungo BIO paquet 500g Grain de Frais,3580281320068,1.75,1.58,10.00,1,17.50,1,0.50,KG,15.75,5.5
"All / Trockenfrüchte. Nüsse. Kerne 
 & süße Aufstriche / Nüsse","Trockenfrüchte. Nüsse. Kerne 
 & süße Aufstriche",Nüsse,123873,Cerneaux de noix invalides France; paquet 130g,3580281238738,1.59,1.59,10.00,1,15.90,1,0.13,KG,15.90,5.5
All / Unverpackt / Unverpackt,Unverpackt,Unverpackt,123033,Bananes chips BIO Philippines,3580281230336,3.99,3.99,6.80,1,27.13,1,1.00,KG,27.13,5.5
"All / Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide-
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,119820,Pâtes Tagliatelle quinoa BIO; pqt 250g Lazzaretti,3267460030139,1.37,1.37,12.00,1,16.44,1,0.25,KG,16.44,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,118688,Pâtes Tagliatelles n°88 pqt 500g Savino Pasta,3580281186886,0.69,0.69,12.00,1,8.28,1,0.50,KG,8.28,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,118658,Pâtes Farfalle n°58 pqt 500g Savino Pasta,3580281186589,0.50,0.50,20.00,1,10.00,1,0.50,KG,10.00,5.5
"All / Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte / Nudeln/Pasta","Getreide- und Scheingetreide- 
 produkte. Reis & Hülsenfrüchte",Nudeln/Pasta,118651,Pâtes Coquillettes n°51; pqt 500g Savino Pasta,3580281186510,0.47,0.47,20.00,1,9.40,1,0.50,KG,9.40,5.5
